epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2075.77,1.22447,0.63602,1.08274,0.79357,0.69412,0.77792,0.41664,1.42234,0.7296,1.23046,0.00832349,0.00832349,0.00832349
56,2113.46,1.22301,0.63489,1.08352,0.77786,0.7005,0.76682,0.40978,1.42614,0.73125,1.2359,0.00826477,0.00826477,0.00826477
57,2151.19,1.22012,0.62952,1.07839,0.79871,0.69505,0.77543,0.41416,1.41926,0.73035,1.2336,0.00820525,0.00820525,0.00820525
58,2188.83,1.21633,0.63276,1.07922,0.79256,0.7051,0.77143,0.41578,1.42305,0.72893,1.23358,0.00814495,0.00814495,0.00814495
59,2226.39,1.21231,0.62731,1.07653,0.80452,0.70355,0.77553,0.41516,1.41918,0.72478,1.2326,0.00808389,0.00808389,0.00808389
60,2263.93,1.20884,0.62342,1.07451,0.79517,0.70154,0.77627,0.41646,1.41244,0.72625,1.22756,0.00802208,0.00802208,0.00802208
61,2301.65,1.21233,0.62382,1.07494,0.79465,0.70799,0.77781,0.41312,1.41975,0.72545,1.22894,0.00795954,0.00795954,0.00795954
62,2339.22,1.2081,0.62126,1.07587,0.79265,0.70944,0.77348,0.41302,1.42318,0.72248,1.23053,0.00789628,0.00789628,0.00789628
63,2376.9,1.2097,0.62083,1.07363,0.79928,0.7085,0.78187,0.41766,1.42285,0.72165,1.23082,0.00783231,0.00783231,0.00783231
64,2414.6,1.20438,0.61763,1.07256,0.7971,0.70823,0.78196,0.41638,1.42826,0.72178,1.23164,0.00776766,0.00776766,0.00776766
65,2452.28,1.19817,0.61293,1.07119,0.79117,0.70949,0.78118,0.4153,1.42878,0.72158,1.23252,0.00770234,0.00770234,0.00770234
66,2490.01,1.19875,0.61477,1.07163,0.79002,0.70772,0.77894,0.41601,1.42729,0.72136,1.23281,0.00763637,0.00763637,0.00763637
67,2527.54,1.19968,0.61346,1.06899,0.78659,0.70064,0.7761,0.41683,1.41954,0.71791,1.22931,0.00756976,0.00756976,0.00756976
68,2565.12,1.199,0.61191,1.06673,0.80328,0.69958,0.77396,0.41421,1.42511,0.72298,1.23139,0.00750252,0.00750252,0.00750252
69,2602.79,1.19711,0.61128,1.06752,0.80751,0.70396,0.78166,0.41608,1.42121,0.71857,1.23113,0.00743468,0.00743468,0.00743468
70,2640.42,1.19392,0.61156,1.06923,0.80573,0.71213,0.79118,0.41931,1.41267,0.71126,1.22931,0.00736625,0.00736625,0.00736625
71,2678.08,1.1879,0.60702,1.06438,0.81025,0.71528,0.79294,0.42291,1.41222,0.70859,1.22854,0.00729725,0.00729725,0.00729725
72,2715.66,1.18719,0.6061,1.06466,0.80388,0.72158,0.79065,0.42181,1.41608,0.71337,1.22862,0.0072277,0.0072277,0.0072277
73,2753.38,1.18517,0.60483,1.06024,0.81664,0.71474,0.79257,0.42145,1.41461,0.71033,1.22756,0.00715761,0.00715761,0.00715761
74,2791.18,1.18783,0.60471,1.06274,0.80178,0.71715,0.78937,0.42256,1.40978,0.70561,1.22449,0.007087,0.007087,0.007087
75,2828.91,1.17718,0.59857,1.05817,0.80727,0.71279,0.79376,0.42777,1.40312,0.70233,1.22133,0.00701588,0.00701588,0.00701588
76,2866.7,1.18383,0.60188,1.06278,0.79408,0.72328,0.79334,0.42786,1.40604,0.70514,1.22368,0.00694428,0.00694428,0.00694428
