epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,221.913,1.23542,0.6404,1.09729,0.781,0.71078,0.77396,0.41463,1.42445,0.73196,1.24427,0.00820525,0.00820525,0.00820525
58,253.841,1.23691,0.64086,1.09837,0.77227,0.70969,0.76524,0.41104,1.42745,0.7328,1.24771,0.00814495,0.00814495,0.00814495
59,285.772,1.23227,0.63715,1.09447,0.78169,0.70339,0.77056,0.41587,1.42313,0.72927,1.24507,0.00808389,0.00808389,0.00808389
60,317.703,1.22746,0.6339,1.09067,0.78851,0.70327,0.77122,0.41577,1.42298,0.72378,1.24834,0.00802208,0.00802208,0.00802208
61,349.684,1.22725,0.63355,1.08809,0.78497,0.71485,0.77645,0.42026,1.42136,0.72035,1.24404,0.00795954,0.00795954,0.00795954
62,381.701,1.22211,0.63018,1.09062,0.80347,0.69869,0.77487,0.41632,1.42139,0.72136,1.24849,0.00789628,0.00789628,0.00789628
63,413.545,1.21976,0.6276,1.09026,0.78341,0.70486,0.77056,0.41259,1.42495,0.71812,1.24679,0.00783231,0.00783231,0.00783231
64,445.478,1.22178,0.62796,1.0897,0.77501,0.71163,0.77177,0.41088,1.42649,0.72182,1.24695,0.00776766,0.00776766,0.00776766
65,477.346,1.22068,0.62816,1.08716,0.77433,0.704,0.76691,0.41042,1.4221,0.72286,1.24327,0.00770234,0.00770234,0.00770234
66,509.257,1.21031,0.62102,1.08326,0.77593,0.70421,0.7662,0.40944,1.42541,0.72195,1.24863,0.00763637,0.00763637,0.00763637
67,541.194,1.20774,0.61821,1.08404,0.80025,0.69073,0.77083,0.4118,1.42643,0.71919,1.24846,0.00756976,0.00756976,0.00756976
68,573.005,1.21515,0.62137,1.0904,0.77868,0.70056,0.76739,0.41131,1.42586,0.7172,1.24825,0.00750252,0.00750252,0.00750252
69,604.882,1.20912,0.61679,1.08517,0.78189,0.70962,0.77304,0.4134,1.42785,0.71618,1.2491,0.00743468,0.00743468,0.00743468
70,636.794,1.21227,0.61868,1.08366,0.78385,0.72042,0.77517,0.4143,1.42401,0.7145,1.24694,0.00736625,0.00736625,0.00736625
71,668.787,1.19921,0.61266,1.0786,0.78675,0.7092,0.76914,0.41277,1.42493,0.7145,1.24818,0.00729725,0.00729725,0.00729725
72,700.672,1.20103,0.61092,1.07928,0.79832,0.7078,0.77169,0.41557,1.42167,0.71256,1.24811,0.0072277,0.0072277,0.0072277
73,732.589,1.19834,0.61085,1.08064,0.80334,0.70889,0.77769,0.41888,1.41394,0.7117,1.24325,0.00715761,0.00715761,0.00715761
74,764.608,1.19841,0.6061,1.07834,0.80143,0.70276,0.77095,0.41661,1.4205,0.71157,1.24523,0.007087,0.007087,0.007087
75,796.579,1.19795,0.60632,1.07487,0.79444,0.70462,0.77093,0.41525,1.42208,0.71123,1.24641,0.00701588,0.00701588,0.00701588
76,828.606,1.1933,0.60409,1.07478,0.79579,0.70649,0.76907,0.41569,1.41865,0.70992,1.24563,0.00694428,0.00694428,0.00694428
77,860.622,1.19562,0.6073,1.07482,0.7947,0.71338,0.77403,0.41935,1.41658,0.71011,1.24357,0.00687222,0.00687222,0.00687222
78,892.668,1.1908,0.60304,1.07195,0.78371,0.71746,0.77432,0.41789,1.42045,0.71071,1.24475,0.0067997,0.0067997,0.0067997
79,924.69,1.18645,0.59834,1.0678,0.79938,0.70904,0.77448,0.41717,1.42213,0.71041,1.24602,0.00672675,0.00672675,0.00672675
80,956.783,1.18662,0.59949,1.07309,0.79689,0.7096,0.77208,0.41497,1.42982,0.71165,1.24996,0.00665339,0.00665339,0.00665339
81,988.799,1.179,0.59297,1.06942,0.78931,0.70926,0.77061,0.41402,1.43029,0.71102,1.2508,0.00657963,0.00657963,0.00657963
82,1020.81,1.17913,0.59404,1.0653,0.79595,0.71086,0.76879,0.41346,1.42677,0.71071,1.24925,0.0065055,0.0065055,0.0065055
83,1052.81,1.17781,0.59397,1.06722,0.78599,0.71376,0.77371,0.41751,1.42083,0.70821,1.24673,0.00643101,0.00643101,0.00643101
84,1084.83,1.18133,0.59268,1.06647,0.78076,0.71359,0.7717,0.41663,1.41945,0.70543,1.24688,0.00635617,0.00635617,0.00635617
85,1116.91,1.17312,0.59261,1.06423,0.79195,0.70809,0.77126,0.41613,1.41856,0.7036,1.24651,0.00628101,0.00628101,0.00628101
86,1149.01,1.16908,0.58592,1.0597,0.78348,0.71551,0.76887,0.41527,1.41889,0.70376,1.24742,0.00620555,0.00620555,0.00620555
87,1181,1.17881,0.59354,1.06713,0.80923,0.70406,0.77126,0.41626,1.42028,0.70289,1.24834,0.00612981,0.00612981,0.00612981
88,1213.04,1.16779,0.58312,1.06067,0.8071,0.70675,0.7702,0.41656,1.42026,0.70331,1.24899,0.0060538,0.0060538,0.0060538
89,1245.22,1.16627,0.58396,1.05827,0.80156,0.70241,0.76856,0.41685,1.42122,0.70335,1.25016,0.00597754,0.00597754,0.00597754
90,1277.28,1.16503,0.58316,1.05881,0.80436,0.70571,0.76899,0.41685,1.41947,0.70271,1.24989,0.00590105,0.00590105,0.00590105
91,1309.31,1.15992,0.58137,1.05938,0.79553,0.71009,0.76964,0.41703,1.41852,0.70138,1.24935,0.00582435,0.00582435,0.00582435
92,1341.32,1.1568,0.57868,1.05768,0.79423,0.70976,0.77046,0.41723,1.41818,0.70081,1.2493,0.00574746,0.00574746,0.00574746
93,1373.48,1.16158,0.58026,1.0572,0.79648,0.70797,0.77071,0.41745,1.41909,0.69939,1.24949,0.0056704,0.0056704,0.0056704
94,1405.53,1.16135,0.5789,1.05891,0.79116,0.70838,0.77028,0.41707,1.42021,0.69929,1.25042,0.00559318,0.00559318,0.00559318
95,1437.52,1.15357,0.57623,1.0528,0.78987,0.70831,0.7714,0.4167,1.42119,0.70053,1.25086,0.00551584,0.00551584,0.00551584
96,1469.59,1.15351,0.57536,1.0547,0.79597,0.70083,0.76991,0.41694,1.42129,0.69984,1.25098,0.00543837,0.00543837,0.00543837
97,1501.62,1.14666,0.57124,1.05087,0.79806,0.70123,0.76906,0.41682,1.42189,0.70059,1.25162,0.00536081,0.00536081,0.00536081
98,1533.67,1.14862,0.57062,1.05202,0.79569,0.7039,0.77052,0.41701,1.42209,0.70024,1.25211,0.00528318,0.00528318,0.00528318
99,1565.72,1.14746,0.57082,1.04799,0.79467,0.70453,0.77047,0.41675,1.42249,0.70117,1.25234,0.00520548,0.00520548,0.00520548
100,1597.89,1.14494,0.56941,1.05385,0.80235,0.70089,0.77088,0.41676,1.42241,0.70078,1.25268,0.00512775,0.00512775,0.00512775
