epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,3027.35,1.24128,0.66382,1.04909,0.76734,0.68992,0.75044,0.39528,1.44929,0.77141,1.20114,0.00559318,0.00559318,0.00559318
95,3059.65,1.2355,0.66094,1.04502,0.76489,0.68621,0.74861,0.39499,1.44947,0.77146,1.20061,0.00551584,0.00551584,0.00551584
96,3091.79,1.23019,0.65953,1.04544,0.77455,0.68077,0.74884,0.39621,1.44678,0.76992,1.19892,0.00543837,0.00543837,0.00543837
97,3123.95,1.2357,0.65862,1.04394,0.78061,0.67838,0.74857,0.39671,1.44645,0.77064,1.19833,0.00536081,0.00536081,0.00536081
98,3156.03,1.23282,0.65829,1.04411,0.78199,0.67897,0.75017,0.39757,1.44692,0.77031,1.19837,0.00528318,0.00528318,0.00528318
99,3188.19,1.23248,0.6559,1.04013,0.77251,0.68265,0.74936,0.39723,1.44665,0.76997,1.19834,0.00520548,0.00520548,0.00520548
100,3220.52,1.22929,0.65479,1.04232,0.76965,0.68304,0.74815,0.39694,1.44707,0.76971,1.19818,0.00512775,0.00512775,0.00512775
101,3252.81,1.22119,0.65074,1.03752,0.76979,0.68609,0.74809,0.39639,1.44736,0.76923,1.19795,0.00505,0.00505,0.00505
102,3284.97,1.22368,0.65235,1.0386,0.77219,0.68089,0.74683,0.39673,1.44689,0.76855,1.19778,0.00497225,0.00497225,0.00497225
103,3317.2,1.22081,0.64694,1.03761,0.77099,0.67949,0.74529,0.39625,1.44748,0.76787,1.19778,0.00489452,0.00489452,0.00489452
104,3349.57,1.22377,0.65267,1.0371,0.77022,0.68541,0.74819,0.39628,1.44768,0.76791,1.19769,0.00481682,0.00481682,0.00481682
105,3381.77,1.21697,0.64733,1.03632,0.76903,0.68402,0.74966,0.39607,1.44859,0.76786,1.19774,0.00473919,0.00473919,0.00473919
106,3414.07,1.22153,0.64618,1.03274,0.76787,0.68366,0.74951,0.39596,1.4495,0.76769,1.1981,0.00466163,0.00466163,0.00466163
107,3446.31,1.21701,0.64582,1.03353,0.76737,0.68622,0.74913,0.39635,1.44971,0.76742,1.19822,0.00458416,0.00458416,0.00458416
108,3478.48,1.2093,0.63739,1.03062,0.76808,0.68591,0.74971,0.39631,1.44936,0.76676,1.19761,0.00450682,0.00450682,0.00450682
109,3510.84,1.21672,0.64271,1.03219,0.76554,0.68801,0.74983,0.3967,1.44889,0.76614,1.19755,0.0044296,0.0044296,0.0044296
110,3543.08,1.20851,0.63859,1.03384,0.77178,0.68548,0.75043,0.39785,1.44791,0.7657,1.19727,0.00435254,0.00435254,0.00435254
111,3575.32,1.20706,0.63543,1.03037,0.76837,0.68736,0.75086,0.39781,1.44816,0.76508,1.19751,0.00427565,0.00427565,0.00427565
