epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2379.85,1.20323,0.61272,1.07189,0.79857,0.70044,0.77685,0.41318,1.42247,0.71985,1.23573,0.00750252,0.00750252,0.00750252
69,2414.88,1.19857,0.61348,1.07103,0.78403,0.71254,0.77921,0.41588,1.41265,0.71589,1.23285,0.00743468,0.00743468,0.00743468
70,2449.64,1.19492,0.60976,1.07274,0.79457,0.72038,0.78148,0.4177,1.40559,0.7121,1.22906,0.00736625,0.00736625,0.00736625
71,2484.67,1.18902,0.60811,1.06853,0.79224,0.72457,0.7807,0.41878,1.40867,0.70529,1.22834,0.00729725,0.00729725,0.00729725
72,2519.65,1.18694,0.60758,1.06723,0.81388,0.71153,0.78508,0.41971,1.41205,0.7068,1.22816,0.0072277,0.0072277,0.0072277
73,2554.49,1.18829,0.60515,1.06555,0.80641,0.71173,0.78783,0.41905,1.4099,0.70528,1.22781,0.00715761,0.00715761,0.00715761
74,2589.65,1.18912,0.60523,1.06629,0.81388,0.70779,0.78338,0.41935,1.40784,0.70702,1.22756,0.007087,0.007087,0.007087
75,2624.49,1.17986,0.59987,1.06122,0.79,0.71981,0.78014,0.42048,1.40292,0.70426,1.22603,0.00701588,0.00701588,0.00701588
76,2659.34,1.1846,0.60033,1.06558,0.79142,0.72511,0.78425,0.4208,1.40691,0.7038,1.22806,0.00694428,0.00694428,0.00694428
77,2694.34,1.17684,0.59685,1.06348,0.79872,0.71521,0.783,0.42117,1.40271,0.70652,1.22542,0.00687222,0.00687222,0.00687222
78,2729.11,1.17885,0.59512,1.06533,0.80656,0.71884,0.78789,0.42177,1.40256,0.70416,1.22403,0.0067997,0.0067997,0.0067997
79,2763.87,1.17769,0.59389,1.06105,0.78411,0.72393,0.78296,0.42107,1.40509,0.70544,1.22571,0.00672675,0.00672675,0.00672675
80,2798.93,1.17272,0.5908,1.05806,0.78918,0.71833,0.78217,0.42094,1.40639,0.70549,1.22678,0.00665339,0.00665339,0.00665339
81,2833.86,1.17532,0.59205,1.058,0.81018,0.70389,0.7845,0.42036,1.40557,0.70264,1.22814,0.00657963,0.00657963,0.00657963
82,2868.8,1.17224,0.59291,1.05835,0.79753,0.70668,0.7848,0.42099,1.40699,0.70322,1.22863,0.0065055,0.0065055,0.0065055
83,2903.8,1.17004,0.59227,1.058,0.81517,0.70441,0.78602,0.42132,1.40858,0.70237,1.2298,0.00643101,0.00643101,0.00643101
84,2938.66,1.16726,0.58815,1.05199,0.81328,0.705,0.78645,0.42038,1.40923,0.70148,1.23053,0.00635617,0.00635617,0.00635617
85,2973.77,1.16474,0.58481,1.05388,0.79819,0.70887,0.78755,0.42016,1.40913,0.70035,1.23073,0.00628101,0.00628101,0.00628101
86,3008.66,1.16527,0.58402,1.05442,0.79453,0.71101,0.78388,0.4199,1.41076,0.70066,1.23298,0.00620555,0.00620555,0.00620555
87,3043.52,1.16131,0.58165,1.05291,0.78449,0.7191,0.78572,0.41908,1.41076,0.70106,1.23244,0.00612981,0.00612981,0.00612981
88,3078.58,1.16305,0.58201,1.05375,0.79196,0.71375,0.78231,0.41861,1.41174,0.70062,1.23245,0.0060538,0.0060538,0.0060538
89,3113.39,1.15792,0.57765,1.04952,0.79505,0.71849,0.78279,0.41838,1.41206,0.69872,1.23334,0.00597754,0.00597754,0.00597754
90,3148.17,1.15378,0.5786,1.04846,0.80172,0.7148,0.78386,0.41991,1.41167,0.69873,1.23348,0.00590105,0.00590105,0.00590105
91,3183.16,1.14972,0.57494,1.04757,0.79189,0.72376,0.78547,0.41994,1.40997,0.69911,1.23295,0.00582435,0.00582435,0.00582435
92,3218.09,1.14635,0.57455,1.04659,0.79862,0.71656,0.78383,0.42057,1.40865,0.69864,1.23254,0.00574746,0.00574746,0.00574746
93,3252.91,1.14772,0.57331,1.0469,0.7928,0.7239,0.78483,0.42174,1.4062,0.69741,1.2311,0.0056704,0.0056704,0.0056704
94,3287.98,1.14883,0.57341,1.0464,0.77818,0.73422,0.78279,0.42129,1.40608,0.69748,1.23142,0.00559318,0.00559318,0.00559318
95,3322.85,1.14309,0.56839,1.04572,0.7825,0.7323,0.78363,0.42093,1.40703,0.69682,1.23229,0.00551584,0.00551584,0.00551584
96,3357.79,1.13739,0.56584,1.04439,0.78909,0.72586,0.78502,0.42185,1.40725,0.69694,1.23219,0.00543837,0.00543837,0.00543837
97,3392.76,1.14319,0.56829,1.04404,0.79812,0.72142,0.78557,0.42277,1.40808,0.69687,1.23348,0.00536081,0.00536081,0.00536081
98,3427.58,1.14069,0.56847,1.0431,0.78457,0.72975,0.78509,0.42321,1.40719,0.69637,1.23328,0.00528318,0.00528318,0.00528318
99,3462.71,1.13557,0.56407,1.03677,0.78194,0.73303,0.78547,0.42349,1.40762,0.69598,1.23404,0.00520548,0.00520548,0.00520548
100,3497.57,1.13565,0.56257,1.04219,0.78497,0.72734,0.78462,0.42285,1.40863,0.69523,1.23488,0.00512775,0.00512775,0.00512775
101,3532.4,1.12655,0.55784,1.03694,0.78617,0.72711,0.78374,0.42283,1.40789,0.69439,1.23461,0.00505,0.00505,0.00505
102,3567.38,1.13014,0.56131,1.03889,0.77885,0.72849,0.78447,0.42286,1.40841,0.69449,1.23553,0.00497225,0.00497225,0.00497225
103,3602.25,1.12946,0.55805,1.03817,0.77731,0.73343,0.78495,0.42262,1.40957,0.69462,1.23594,0.00489452,0.00489452,0.00489452
104,3637.19,1.12893,0.55991,1.03732,0.78088,0.72981,0.78386,0.42268,1.41023,0.69486,1.23597,0.00481682,0.00481682,0.00481682
